Rank,Population Density ▼,County / Population
112.,35.6/sq mi,"Amelia, VA / 12,764"
113.,35.4/sq mi,"Mathews, VA / 8,923"
114.,35.0/sq mi,"Charles City, VA / 7,154"
115.,34.2/sq mi,"Grayson, VA / 15,255"
116.,33.1/sq mi,"Cumberland, VA / 9,916"
117.,31.4/sq mi,"Nelson, VA / 14,892"
118.,30.5/sq mi,"Southampton, VA / 18,364"
119.,29.8/sq mi,"Brunswick, VA / 16,961"
120.,29.3/sq mi,"Lunenburg, VA / 12,667"
121.,29.3/sq mi,"Buckingham, VA / 17,072"
122.,27.9/sq mi,"Rappahannock, VA / 7,446"
123.,26.0/sq mi,"Charlotte, VA / 12,399"
124.,25.3/sq mi,"Accomack, VA / 33,165"
125.,24.2/sq mi,"Sussex, VA / 11,923"
126.,22.2/sq mi,"Surry, VA / 6,885"
127.,21.7/sq mi,"King And Queen, VA / 7,073"
128.,18.8/sq mi,"Bland, VA / 6,727"
129.,15.7/sq mi,"Craig, VA / 5,206"
130.,15.4/sq mi,"Northampton, VA / 12,254"
131.,8.7/sq mi,"Bath, VA / 4,644"
132.,5.4/sq mi,"Highland, VA / 2,258"
