Rank,Population Density ▼,County / Population
118.,23.9/sq mi,"Milam, TX / 24,388"
119.,23.7/sq mi,"Gillespie, TX / 25,179"
120.,23.0/sq mi,"Tyler, TX / 21,552"
121.,22.7/sq mi,"Matagorda, TX / 36,611"
122.,22.6/sq mi,"Falls, TX / 17,524"
123.,22.4/sq mi,"De Witt, TX / 20,397"
124.,22.0/sq mi,"Freestone, TX / 19,661"
125.,21.4/sq mi,"Jones, TX / 20,092"
126.,21.3/sq mi,"Colorado, TX / 20,771"
127.,20.9/sq mi,"Calhoun, TX / 21,569"
128.,20.9/sq mi,"Montague, TX / 19,568"
129.,20.2/sq mi,"Trinity, TX / 14,452"
130.,20.0/sq mi,"Lavaca, TX / 19,438"
131.,20.0/sq mi,"Llano, TX / 19,272"
132.,19.8/sq mi,"Karnes, TX / 14,884"
133.,19.7/sq mi,"Eastland, TX / 18,403"
134.,19.7/sq mi,"Young, TX / 18,374"
135.,19.1/sq mi,"Robertson, TX / 16,546"
136.,18.9/sq mi,"Scurry, TX / 17,108"
137.,18.8/sq mi,"Delta, TX / 5,239"
138.,18.7/sq mi,"Gonzales, TX / 20,054"
139.,18.7/sq mi,"Houston, TX / 23,151"
140.,18.3/sq mi,"Sabine, TX / 10,551"
141.,18.0/sq mi,"Bosque, TX / 18,052"
142.,17.2/sq mi,"Uvalde, TX / 26,763"
143.,16.7/sq mi,"Jackson, TX / 14,336"
144.,16.5/sq mi,"Nolan, TX / 15,082"
145.,15.7/sq mi,"Frio, TX / 17,847"
146.,15.5/sq mi,"Leon, TX / 16,784"
147.,15.2/sq mi,"Newton, TX / 14,323"
148.,15.2/sq mi,"Val Verde, TX / 48,999"
149.,15.1/sq mi,"Dawson, TX / 13,593"
150.,15.0/sq mi,"Callahan, TX / 13,519"
151.,14.9/sq mi,"Blanco, TX / 10,625"
152.,14.8/sq mi,"San Augustine, TX / 8,777"
153.,14.5/sq mi,"Comanche, TX / 13,755"
154.,14.2/sq mi,"Terry, TX / 12,681"
155.,13.6/sq mi,"Lamb, TX / 13,875"
156.,13.6/sq mi,"Wilbarger, TX / 13,265"
157.,13.5/sq mi,"Zapata, TX / 14,231"
158.,13.2/sq mi,"Ward, TX / 11,011"
159.,12.9/sq mi,"Deaf Smith, TX / 19,331"
160.,12.3/sq mi,"Gaines, TX / 18,496"
161.,12.0/sq mi,"Red River, TX / 12,642"
162.,11.5/sq mi,"Ochiltree, TX / 10,546"
163.,11.4/sq mi,"Parmer, TX / 10,124"
164.,10.9/sq mi,"Live Oak, TX / 11,738"
165.,10.7/sq mi,"Andrews, TX / 16,126"
166.,10.3/sq mi,"Stephens, TX / 9,485"
167.,10.1/sq mi,"Mitchell, TX / 9,236"
168.,10.1/sq mi,"Yoakum, TX / 8,054"
169.,10.0/sq mi,"Hamilton, TX / 8,330"
170.,9.9/sq mi,"Childress, TX / 7,066"
171.,9.9/sq mi,"Runnels, TX / 10,441"
172.,9.7/sq mi,"Jack, TX / 8,967"
173.,9.6/sq mi,"Archer, TX / 8,853"
174.,9.4/sq mi,"Clay, TX / 10,547"
175.,9.2/sq mi,"Zavala, TX / 12,013"
176.,8.9/sq mi,"Castro, TX / 8,026"
177.,8.9/sq mi,"Refugio, TX / 7,295"
178.,8.8/sq mi,"Winkler, TX / 7,404"
179.,8.6/sq mi,"Swisher, TX / 7,789"
180.,8.6/sq mi,"Goliad, TX / 7,357"
181.,8.6/sq mi,"Bailey, TX / 7,084"
182.,7.9/sq mi,"Dimmit, TX / 10,537"
183.,7.7/sq mi,"Mcculloch, TX / 8,245"
184.,7.6/sq mi,"Brooks, TX / 7,200"
185.,7.1/sq mi,"Garza, TX / 6,337"
186.,6.8/sq mi,"Coleman, TX / 8,656"
187.,6.7/sq mi,"Crosby, TX / 6,025"
188.,6.6/sq mi,"Carson, TX / 6,108"
189.,6.5/sq mi,"Mills, TX / 4,881"
190.,6.5/sq mi,"Lynn, TX / 5,806"
191.,6.5/sq mi,"Duval, TX / 11,644"
192.,6.5/sq mi,"Haskell, TX / 5,875"
