Rank,Population Density ▼,County / Population
118.,34.3/sq mi,"Seminole, GA / 8,804"
119.,33.5/sq mi,"Treutlen, GA / 6,781"
120.,33.2/sq mi,"Oglethorpe, GA / 14,695"
121.,32.9/sq mi,"Emanuel, GA / 22,731"
122.,32.1/sq mi,"Johnson, GA / 9,850"
123.,31.7/sq mi,"Brooks, GA / 15,766"
124.,31.3/sq mi,"Jefferson, GA / 16,554"
125.,30.5/sq mi,"Washington, GA / 20,861"
126.,30.3/sq mi,"Lincoln, GA / 7,800"
127.,30.1/sq mi,"Schley, GA / 5,054"
128.,29.3/sq mi,"Turner, GA / 8,491"
129.,27.7/sq mi,"Burke, GA / 23,136"
130.,27.6/sq mi,"Terrell, GA / 9,304"
131.,26.4/sq mi,"Wheeler, GA / 7,932"
132.,26.1/sq mi,"Irwin, GA / 9,482"
133.,24.9/sq mi,"Jenkins, GA / 8,794"
134.,24.7/sq mi,"Mcintosh, GA / 14,172"
135.,24.1/sq mi,"Atkinson, GA / 8,297"
136.,23.8/sq mi,"Marion, GA / 8,751"
137.,23.7/sq mi,"Twiggs, GA / 8,612"
138.,23.7/sq mi,"Wilcox, GA / 9,061"
139.,23.1/sq mi,"Calhoun, GA / 6,549"
140.,22.4/sq mi,"Taylor, GA / 8,505"
141.,21.8/sq mi,"Screven, GA / 14,281"
142.,21.4/sq mi,"Glascock, GA / 3,086"
143.,21.4/sq mi,"Wilkes, GA / 10,123"
144.,21.2/sq mi,"Miller, GA / 6,017"
145.,20.9/sq mi,"Wilkinson, GA / 9,455"
146.,20.6/sq mi,"Early, GA / 10,662"
147.,19.6/sq mi,"Warren, GA / 5,626"
148.,18.9/sq mi,"Hancock, GA / 9,043"
149.,17.2/sq mi,"Randolph, GA / 7,411"
150.,16.7/sq mi,"Charlton, GA / 13,098"
151.,16.7/sq mi,"Talbot, GA / 6,594"
152.,15.0/sq mi,"Quitman, GA / 2,407"
153.,14.3/sq mi,"Clay, GA / 3,110"
154.,13.1/sq mi,"Webster, GA / 2,744"
155.,12.7/sq mi,"Stewart, GA / 5,900"
156.,9.6/sq mi,"Baker, GA / 3,342"
157.,9.6/sq mi,"Echols, GA / 4,018"
158.,8.7/sq mi,"Taliaferro, GA / 1,700"
159.,8.2/sq mi,"Clinch, GA / 6,777"
