,County,State,Population Density,Dem Rep Margin,Population Over 85,Nonwhite Population,Unemployment Rate (2019),Median Household Income (2019,COVID Cases Per 100K
104,Dougherty,Georgia,280.6,38.4,1772,799,4.7,8806,3604.074764655055
105,Douglas,Georgia,671.7,10.8,1376,249,3.5,512,2508.4903275182282
106,Early,Georgia,20.6,-8.0,246,108,3.9,4984,5034.347399411187
107,Echols,Georgia,9.6,-72.4,68,13,2.8,8667,6040.938592111834
108,Effingham,Georgia,111.1,-55.6,638,100,2.9,5793,2342.291899962673
109,Elbert,Georgia,52.6,-34.5,470,86,4.0,9681,3693.8626654162763
110,Emanuel,Georgia,32.9,-37.0,375,88,5.3,7574,4866.201536695222
111,Evans,Georgia,58.2,-35.4,198,50,3.4,7319,4054.815092922846
112,Fannin,Georgia,60.3,-65.5,789,26,3.3,3439,2707.346876431953
113,Fayette,Georgia,541.5,-19.5,2164,330,3.0,5021,1679.7615822270388
114,Floyd,Georgia,185.4,-43.5,1931,205,3.8,4906,3363.520071473533
115,Forsyth,Georgia,765.9,-47.6,2561,144,2.7,5921,1724.0391071516306
116,Franklin,Georgia,82.8,-68.6,482,35,3.5,2904,3319.199965737291
117,Fulton,Georgia,1809.9,41.6,14681,5816,3.5,808,2640.757864422424
118,Gilmer,Georgia,66.0,-66.8,660,35,3.5,7757,2738.3722783639896
119,Glascock,Georgia,21.4,-78.9,79,13,3.7,2820,1346.348030966005
120,Glynn,Georgia,138.3,-28.5,1841,287,3.3,3906,4126.999015147962
121,Gordon,Georgia,155.5,-63.6,839,49,3.4,9101,3298.656039197419
122,Grady,Georgia,54.8,-33.0,456,99,3.4,1002,3276.093045914017
123,Greene,Georgia,39.9,-25.9,453,99,3.9,4016,2815.9790438768828
124,Gwinnett,Georgia,1928.0,5.9,8214,2015,3.0,2008,2998.558077436581
125,Habersham,Georgia,155.3,-66.4,864,30,3.5,1829,3823.2439110483588
126,Hall,Georgia,431.7,-50.6,3341,210,2.8,1631,4704.535782939821
127,Hancock,Georgia,18.9,51.9,255,162,5.5,1716,4717.985101099681
128,Haralson,Georgia,100.9,-71.6,487,25,3.3,7662,1738.7218045112784
129,Harris,Georgia,68.8,-47.9,620,140,3.1,4686,2284.5953002610972
130,Hart,Georgia,98.9,-46.6,593,62,3.5,7171,2014.8826559816828
131,Heard,Georgia,38.8,-62.4,219,23,3.3,6218,1685.817327853728
132,Henry,Georgia,640.2,4.4,2137,616,3.5,2970,2308.9942488307943
133,Houston,Georgia,383.3,-21.5,1966,367,3.3,728,2023.906805267859
134,Irwin,Georgia,26.1,-49.8,241,41,4.7,8156,3430.331350892099
135,Jackson,Georgia,177.6,-63.8,871,73,2.7,8984,2831.028954328076
136,Jasper,Georgia,36.5,-46.8,232,77,3.1,1241,1582.3897601800406
137,Jeff Davis,Georgia,44.8,-62.9,175,36,4.6,7211,4829.63943102878
138,Jefferson,Georgia,31.3,10.9,294,121,4.7,8274,5305.298789220154
139,Jenkins,Georgia,24.9,-25.3,175,59,5.1,1419,5048.4094052558785
140,Johnson,Georgia,32.1,-37.6,231,65,3.6,4849,4355.491029762522
141,Jones,Georgia,72.8,-34.7,483,123,3.2,5737,1994.0838698451366
142,Lamar,Georgia,97.5,-38.5,343,77,3.9,8323,1997.169366252556
143,Lanier,Georgia,51.8,-41.2,134,20,3.9,1564,2849.4675237455626
144,Laurens,Georgia,58.7,-29.0,1089,263,4.6,2114,3615.4460943086688
145,Lee,Georgia,79.6,-53.0,285,49,3.1,6090,2367.2979461189652
146,Liberty,Georgia,107.0,21.2,403,174,3.7,7685,1860.5029706193536
147,Lincoln,Georgia,30.3,-36.2,187,39,3.9,6967,2701.679080924125
148,Long,Georgia,39.5,-30.8,213,80,3.6,6428,1308.8603711846208
149,Lowndes,Georgia,220.4,-17.5,1551,457,3.5,1820,3395.908215934449
150,Lumpkin,Georgia,108.1,-60.0,503,22,3.1,5583,2796.7866706337395
151,Macon,Georgia,35.1,27.2,194,95,4.6,2868,2885.698198198198
152,Madison,Georgia,98.5,-56.7,434,36,3.0,1338,2058.700792878008
153,Marion,Georgia,23.8,-22.2,131,59,4.2,9114,1822.8160963929868
154,Mcduffie,Georgia,80.9,-18.7,338,103,5.1,2768,2389.558232931727
155,Mcintosh,Georgia,24.7,-20.1,403,170,3.6,2513,2308.888623041033
156,Meriwether,Georgia,42.4,-15.4,508,154,4.5,8886,2636.1789578116877
157,Miller,Georgia,21.2,-49.8,204,32,3.3,2483,4861.839804127317
158,Mitchell,Georgia,45.1,-10.0,387,144,4.6,6788,3768.924667246032
159,Monroe,Georgia,67.3,-41.5,605,114,3.2,9362,2560.0116034520265
160,Montgomery,Georgia,36.8,-51.2,118,26,5.3,1834,3521.587440034889
161,Morgan,Georgia,50.4,-41.3,381,80,3.1,7978,2536.8333679186553
162,Murray,Georgia,113.7,-68.7,493,17,5.0,6810,2127.394253790902
163,Muscogee,Georgia,897.0,18.8,3307,1235,4.5,6628,3115.917228979052
164,Newton,Georgia,363.6,2.4,1384,371,3.9,6598,2361.648052691867
165,Oconee,Georgia,181.2,-39.4,625,27,2.5,9497,1914.101290963257
166,Oglethorpe,Georgia,33.2,-42.0,301,52,3.2,1105,2267.514253882954
167,Paulding,Georgia,463.1,-41.2,1425,174,2.9,3309,1695.6488228284134
168,Peach,Georgia,180.7,-2.9,434,131,4.1,6525,2483.119146155522
169,Pickens,Georgia,127.0,-69.2,572,12,3.0,5062,1939.1856647540733
170,Pierce,Georgia,54.9,-74.0,341,40,3.4,4389,3190.3416388389423
171,Pike,Georgia,81.2,-69.6,286,48,3.0,6901,1835.249446260943
172,Polk,Georgia,132.2,-57.5,663,87,3.6,3679,3557.599793490249
173,Pulaski,Georgia,46.5,-37.0,294,69,3.8,582,2855.347041393553
174,Putnam,Georgia,58.8,-40.0,463,73,4.3,1205,3232.515032325151
175,Quitman,Georgia,15.0,-10.9,73,34,5.0,3908,1478.9038712483691
176,Rabun,Georgia,43.2,-60.9,473,17,3.5,4213,2205.753632491101
177,Randolph,Georgia,17.2,11.3,291,136,4.8,8298,4883.446444378872
178,Richmond,Georgia,612.4,32.4,3096,1250,4.5,168,3589.8043630689613
179,Rockdale,Georgia,653.0,26.0,1262,396,3.8,9673,2085.90036965323
180,Schley,Georgia,30.1,-56.1,100,25,3.9,5378,2016.359140194027
181,Screven,Georgia,21.8,-17.6,263,89,5.4,9048,3043.104682801088
182,Seminole,Georgia,34.3,-32.3,213,58,4.4,6869,4610.630407911001
183,Spalding,Georgia,320.4,-24.6,1251,297,4.0,3510,2044.8855373821268
184,Stephens,Georgia,139.7,-59.9,422,56,3.9,5850,4331.726133076181
185,Stewart,Georgia,12.7,20.3,145,78,4.2,3053,7899.108895937169
186,Sumter,Georgia,64.6,2.2,571,160,4.8,7562,3187.237501693537
187,Talbot,Georgia,16.7,24.8,120,78,4.5,7265,2679.580306698951
188,Taliaferro,Georgia,8.7,21.8,67,37,4.9,4090,1496.4216005204944
189,Tattnall,Georgia,51.9,-49.6,362,60,3.8,1440,3361.5439373566405
190,Taylor,Georgia,22.4,-22.6,171,61,4.0,6310,2705.7356608478804
191,Telfair,Georgia,37.1,-30.0,453,143,9.5,4297,2496.847414880202
192,Terrell,Georgia,27.6,9.4,187,66,5.0,5290,3879.967178525377
193,Thomas,Georgia,81.0,-21.8,921,273,4.0,1642,3396.998942655958
194,Tift,Georgia,151.5,-36.9,703,134,3.4,5680,4485.286881212479
195,Toombs,Georgia,73.5,-46.9,547,112,4.9,7148,5068.95266492732
196,Towns,Georgia,62.0,-61.9,496,7,4.8,5853,2916.0089723353003
197,Treutlen,Georgia,33.5,-35.0,151,34,5.3,5069,3825.532531517171
198,Troup,Georgia,153.3,-23.2,1270,272,3.2,5234,4075.97036698035
199,Turner,Georgia,29.3,-25.0,195,47,3.8,3261,3969.9436443331238
200,Twiggs,Georgia,23.7,-1.6,151,65,5.4,2054,2450.7389162561576
201,Union,Georgia,65.5,-65.5,829,20,3.1,5943,3276.0801272897884
202,Upson,Georgia,81.5,-34.9,550,93,3.6,965,3066.1094224924013
203,Walker,Georgia,153.1,-61.5,1505,66,3.6,3767,2319.347486417913
204,Walton,Georgia,258.7,-56.4,1445,140,3.1,5416,1973.7189855486133
205,Ware,Georgia,39.6,-41.7,855,166,3.7,8357,4259.248894610176
206,Warren,Georgia,19.6,13.8,155,74,4.5,8352,3007.232584697373
207,Washington,Georgia,30.5,0.6,435,195,4.1,9444,3381.7610680278785
208,Wayne,Georgia,46.5,-58.8,473,66,4.0,4607,3862.732649446988
209,Webster,Georgia,13.1,-14.1,102,40,5.0,8187,1649.4054468738013
210,Wheeler,Georgia,26.4,-36.9,143,35,7.5,2691,4417.5684277530245
211,White,Georgia,113.9,-68.6,685,12,2.6,1579,2896.291967010845
212,Whitfield,Georgia,354.3,-44.7,1736,77,4.4,7074,4513.132239935772
213,Wilcox,Georgia,23.7,-41.8,207,39,4.5,5961,2883.61320208454
214,Wilkes,Georgia,21.4,-16.2,311,105,4.5,9361,2741.127135113021
215,Wilkinson,Georgia,20.9,-10.3,210,63,3.8,1036,3864.1947732856825
216,Worth,Georgia,37.2,-49.9,405,94,3.9,8708,2701.634810095323
217,Adams,Illinois,77.0,-47.4,2338,62,3.4,5174,1908.764422709559
218,Alexander,Illinois,31.0,-8.3,159,53,6.2,5249,1562.2287797257418
219,Bond,Illinois,45.9,-37.8,459,12,3.8,4800,2197.7352976987704
220,Boone,Illinois,191.5,-14.5,945,31,5.6,4507,2265.426565067981
221,Brown,Illinois,22.4,-56.0,126,1,2.4,5327,1079.355427181514
222,Bureau,Illinois,39.3,-19.9,1132,12,4.6,6099,2212.82334191492
223,Calhoun,Illinois,17.7,-38.4,155,5,4.8,6099,1392.698881620595
224,Carroll,Illinois,32.2,-27.0,495,12,4.1,1963,1698.7067458930442
225,Cass,Illinois,35.0,-31.5,306,5,4.1,2486,3408.248950358113
226,Champaign,Illinois,204.5,18.7,3782,326,3.8,3251,2404.036453986618
227,Christian,Illinois,48.1,-42.7,944,24,4.8,2936,1937.8405151064887
228,Clark,Illinois,32.2,-47.9,430,3,4.5,4092,1230.4902532219414
229,Clay,Illinois,29.1,-63.5,371,7,4.5,5427,1448.7257281553398
230,Clinton,Illinois,75.4,-49.0,976,23,3.1,6597,3452.9577764762257
231,Coles,Illinois,105.2,-26.3,1246,21,4.0,7291,3073.8231168882485
232,Cook,Illinois,3197.7,53.7,104592,28594,3.8,3347,2881.054119299069
233,Crawford,Illinois,44.0,-49.5,482,7,4.3,2313,2576.7397010767663
234,Cumberland,Illinois,31.6,-57.5,316,8,3.4,572,2052.7586847482817
235,Dekalb,Illinois,165.3,3.2,377,4,4.3,5300,1647.330238233696
236,Dewitt,Illinois,40.6,-42.3,1654,41,4.1,3274,901.64982734365
237,Douglas,Illinois,47.6,-46.3,494,10,3.6,6976,1772.41202157719
238,Dupage,Illinois,2754.0,14.8,18922,1699,2.9,3540,1972.9749350161069
239,Edgar,Illinois,29.1,-49.3,527,11,4.2,1577,699.2599498863702
240,Edwards,Illinois,30.0,-70.7,197,2,4.1,1280,1125.879593432369
241,Effingham,Illinois,71.4,-60.4,790,8,3.3,773,2699.3648553281587
242,Fayette,Illinois,30.4,-58.2,585,7,4.4,7484,2170.0412448443944
243,Ford,Illinois,28.6,-48.6,468,5,4.3,5357,856.4154000462927
244,Franklin,Illinois,92.2,-45.2,969,20,5.4,2071,1502.5085133484106
245,Fulton,Illinois,41.5,-15.1,1027,21,5.6,1258,611.5317414094351
246,Gallatin,Illinois,16.6,-47.7,94,5,4.9,3330,1615.5758077879038
247,Greene,Illinois,25.0,-52.9,332,9,4.3,7314,1835.1453465957284
248,Grundy,Illinois,116.6,-23.4,818,18,4.5,9348,1406.3540564892076
249,Hamilton,Illinois,19.2,-58.0,251,7,3.9,3028,961.0645638245442
250,Hancock,Illinois,23.1,-47.8,590,6,4.7,3553,1332.7309690535353
251,Hardin,Illinois,23.3,-57.7,109,0,6.6,1713,1046.8463752944256
252,Henderson,Illinois,17.9,-28.7,242,3,4.8,3632,1158.591634065603
253,Henry,Illinois,60.6,-21.0,1401,25,4.8,8042,1435.2012757344671
254,Iroquois,Illinois,26.2,-55.9,859,21,4.2,5247,1371.9849524231026
255,Jackson,Illinois,99.8,3.3,1315,161,3.8,1445,2283.7004405286348
256,Jasper,Illinois,19.4,-59.7,277,10,4.2,4552,2258.064516129032
257,Jefferson,Illinois,66.3,-43.1,923,29,4.6,7425,1812.4402929625305
258,Jersey,Illinois,60.3,-46.4,544,11,4.4,9117,1850.9162724475268
259,Jo Daviess,Illinois,36.2,-14.8,681,11,4.1,6832,1412.7619496114905
260,Johnson,Illinois,36.3,-58.2,290,7,6.0,3884,1489.892888781509
261,Kane,Illinois,995.6,10.5,8345,546,4.4,9834,2539.9932006393656
262,Kankakee,Illinois,165.4,-13.2,2684,257,5.0,3884,2590.522655695327
263,Kendall,Illinois,366.7,-0.1,1370,82,3.3,3345,1633.4599581362893
264,Knox,Illinois,72.9,-3.0,1519,62,5.0,4553,1531.2179319503412
265,La Salle,Illinois,98.2,-14.5,2964,29,5.3,4063,1684.9331456073028
266,Lake,Illinois,513.8,20.6,12801,1235,4.1,7336,2515.307917046523
267,Lawrence,Illinois,44.7,-53.4,387,14,5.2,3767,1722.1584385763488
268,Lee,Illinois,48.4,-20.2,961,25,4.0,4915,1269.9436884091976
269,Livingston,Illinois,36.8,-40.9,1096,10,4.1,9323,1214.6543985637345
270,Logan,Illinois,48.5,-40.0,819,17,4.3,2959,1684.2546648962189
271,Macon,Illinois,187.5,-17.9,3117,207,5.3,684,1708.105922781484
272,Macoupin,Illinois,54.4,-34.4,1259,20,4.3,3409,1551.7880002859245
273,Madison,Illinois,361.8,-15.5,6021,263,3.9,121,1992.8053778925705
274,Marion,Illinois,67.6,-44.2,1026,36,4.5,6096,1669.0863290676764
275,Marshall,Illinois,30.9,-33.7,381,6,4.8,7422,1328.8518897742956
276,Mason,Illinois,25.4,-31.7,406,4,5.3,8764,2278.621570849464
277,Massac,Illinois,62.6,-49.5,490,40,5.6,3783,1720.1988979975808
278,Mcdonough,Illinois,54.9,-11.6,857,14,4.7,2887,1014.1633152649063
279,Mchenry,Illinois,504.1,-7.6,4840,148,3.3,6268,1309.9782917883074
280,Mclean,Illinois,145.3,-1.3,3012,126,3.8,7087,929.4220156839964
281,Menard,Illinois,40.1,-37.5,304,3,3.8,4872,1090.5214824532634
282,Mercer,Illinois,28.5,-20.6,457,8,5.0,8384,978.1693334197058
283,Monroe,Illinois,83.8,-37.1,919,9,3.1,8481,2116.234084938072
284,Montgomery,Illinois,41.9,-39.8,941,19,5.2,3138,1425.3536988808335
285,Morgan,Illinois,61.6,-29.9,989,13,4.0,8976,2055.9748053954486
286,Moultrie,Illinois,43.2,-47.8,459,2,3.3,9901,1634.3700434452796
287,Ogle,Illinois,69.2,-26.4,1185,14,4.8,1794,1581.6598542740358
288,Peoria,Illinois,296.9,3.1,4245,370,5.1,6478,2071.6713454143623
289,Perry,Illinois,49.3,-44.9,516,17,5.1,9965,1730.7324536240199
290,Piatt,Illinois,37.7,-33.5,391,8,3.6,7460,960.5971610376897
291,Pike,Illinois,19.1,-58.2,479,11,4.3,7815,963.9483323693852
292,Pope,Illinois,11.7,-61.1,159,4,5.6,3053,718.218817333014
293,Pulaski,Illinois,29.4,-26.3,150,40,6.6,8400,3636.363636363636
294,Putnam,Illinois,34.2,-20.1,124,0,5.0,6319,1150.0261369576585
295,Randolph,Illinois,55.4,-46.7,953,19,3.7,3607,3067.7742118180104
296,Richland,Illinois,44.6,-54.4,564,12,4.1,8152,1676.0136659575842
297,Rock Island,Illinois,325.7,8.4,3675,192,4.9,2642,2244.8706291981193
298,Saint Clair,Illinois,398.2,-50.1,621,22,5.3,761,2658.980461018307
299,Saline,Illinois,64.3,-9.2,4511,266,4.0,2242,1664.4672427738285
300,Sangamon,Illinois,226.7,-37.8,197,1,4.2,2018,1352.5314374948632
301,Schuyler,Illinois,16.9,-54.9,134,2,4.7,5198,856.9739952718677
302,Scott,Illinois,20.8,-53.8,722,10,3.9,6509,1636.0331246212884
303,Shelby,Illinois,28.9,5.7,5575,1145,4.5,8222,2029.2132753998333
304,Stark,Illinois,20.4,-37.8,153,1,5.7,2651,1048.2965181579932
305,Stephenson,Illinois,83.3,-16.6,1596,65,4.4,7357,1305.6766596251518
306,Tazewell,Illinois,206.5,-28.3,3596,31,4.4,1508,1446.8562931041024
307,Union,Illinois,41.7,-39.7,428,5,5.7,9716,3290.698372665585
308,Vermilion,Illinois,89.6,-29.6,1908,105,5.1,4638,1290.9527706644842
309,Wabash,Illinois,51.6,-53.5,386,5,3.8,3414,1432.291666666667
310,Warren,Illinois,32.7,-16.7,419,15,4.1,3532,2101.638565661363
311,Washington,Illinois,25.8,-55.8,418,4,2.5,6937,1663.4262259667316
312,Wayne,Illinois,23.2,-71.6,466,9,4.8,471,1954.9799568300962
313,White,Illinois,29.0,-58.0,422,7,3.8,9507,1396.1734505429565
314,Whiteside,Illinois,82.8,-6.2,1642,23,4.3,7197,1574.988672405981
315,Will,Illinois,803.2,6.4,9867,1050,3.8,6108,2112.073520831916
316,Williamson,Illinois,150.3,-41.2,1450,43,4.3,6187,2198.2972205955225
317,Winnebago,Illinois,562.4,0.1,6465,438,5.7,3795,2399.034582336537
318,Woodford,Illinois,71.8,-41.7,1138,7,3.7,2247,1190.8785979874672
319,Allen,Kansas,26.1,-40.67,368,16,3.5,4423,557.8462284744119
320,Anderson,Kansas,13.6,-52.63,248,3,3.3,646,1056.2484092644438
321,Atchison,Kansas,38.6,-31.33,388,16,5.2,9332,2277.1106825110433
322,Barber,Kansas,4.3,-69.45,131,3,2.5,7634,248.47526541676083
323,Barton,Kansas,30.6,-58.91,846,16,3.1,9991,2079.2117615113075
324,Bourbon,Kansas,23.3,-50.68,430,16,4.2,1807,1334.8011559102795
325,Brown,Kansas,17.3,-50.62000000000001,270,19,3.2,7529,1516.1020493517356
326,Butler,Kansas,45.6,-45.19,1409,29,3.2,5953,1512.4568456606535
327,Chase,Kansas,3.5,-47.7,98,0,2.8,981,3134.441087613293
328,Chautauqua,Kansas,5.5,-70.16,135,10,3.9,1129,646.1538461538461
329,Cherokee,Kansas,35.8,-48.46,432,26,3.4,4475,2683.1837103164653
330,Cheyenne,Kansas,2.6,-70.51,162,2,2.4,3274,2709.823108769289
331,Clark,Kansas,2.2,-70.15,86,2,2.3,1235,2758.2748244734203
332,Clay,Kansas,12.9,-57.96000000000001,316,3,3.2,2681,662.334416395901
333,Cloud,Kansas,13.1,-54.91,338,6,3.2,4467,842.249032551787
334,Coffey,Kansas,13.0,-57.11,223,6,4.5,8371,1577.2099278640421
335,Comanche,Kansas,2.4,-70.71,60,3,2.6,6818,705.8823529411765
336,Cowley,Kansas,32.0,-37.39,967,28,3.4,7864,1114.3577403460524
337,Crawford,Kansas,66.0,-23.0,922,26,3.9,3852,2905.8684115616466
338,Decatur,Kansas,3.3,-71.07,188,5,3.0,4774,955.076052352317
339,Dickinson,Kansas,23.1,-53.83000000000001,636,6,3.6,605,1202.2094660457058
340,Doniphan,Kansas,19.8,-59.77000000000001,215,12,3.4,949,1552.6315789473686
341,Douglas,Kansas,239.6,32.96,1930,140,2.9,7120,1972.0429579826432
