,RUCC_2013
1086,8.0
1087,9.0
1088,1.0
1089,7.0
1090,7.0
1091,6.0
1092,5.0
1093,8.0
1094,7.0
1095,7.0
1096,9.0
1097,2.0
1098,1.0
1099,6.0
1100,1.0
1101,7.0
1102,8.0
1103,2.0
1104,1.0
1105,6.0
1106,3.0
1107,9.0
1108,7.0
1109,8.0
1110,7.0
1111,9.0
1112,2.0
2244,3.0
2245,1.0
2246,1.0
2247,1.0
2248,6.0
2249,2.0
2250,3.0
2251,6.0
2252,1.0
2253,1.0
2254,3.0
2255,7.0
2256,2.0
2257,3.0
2258,1.0
2259,6.0
2260,4.0
2261,4.0
2262,3.0
2263,4.0
2264,2.0
2265,2.0
2266,1.0
2267,7.0
2268,2.0
2269,1.0
2270,9.0
2271,3.0
2272,8.0
2273,6.0
2274,6.0
2275,4.0
2276,7.0
2277,6.0
2278,2.0
2279,2.0
2280,4.0
2281,3.0
2282,2.0
2283,2.0
2284,3.0
2285,7.0
2286,2.0
2287,4.0
2288,3.0
2289,1.0
2290,3.0
2291,2.0
2292,4.0
2293,2.0
2294,1.0
2295,1.0
2296,9.0
2297,4.0
2298,7.0
2299,4.0
2300,8.0
2301,6.0
2302,6.0
2303,4.0
2304,4.0
2305,6.0
2306,1.0
2307,6.0
2308,1.0
2309,2.0
2310,2.0
2523,7.0
2524,6.0
2525,5.0
2526,2.0
2527,3.0
2528,2.0
2529,1.0
2530,1.0
2531,7.0
2532,1.0
2533,1.0
2534,8.0
2535,6.0
2536,2.0
2537,1.0
2538,8.0
2539,8.0
2540,6.0
2541,3.0
2542,1.0
2543,3.0
2544,7.0
2545,9.0
2546,7.0
2547,5.0
2548,3.0
2549,6.0
2550,1.0
2551,6.0
2552,3.0
2553,2.0
2554,6.0
2555,2.0
2556,6.0
2557,6.0
2558,1.0
2559,6.0
2560,7.0
2561,3.0
2562,9.0
2563,8.0
2564,6.0
2565,1.0
2566,9.0
2567,6.0
2568,1.0
2569,7.0
2570,8.0
2571,6.0
2572,2.0
2573,9.0
2574,6.0
2575,7.0
2576,2.0
2577,9.0
2578,7.0
2579,1.0
2580,7.0
2584,6.0
2581,6.0
2582,8.0
2583,1.0
2585,8.0
2586,6.0
2587,8.0
2588,7.0
2589,6.0
2590,3.0
2591,9.0
2593,2.0
2592,1.0
2594,4.0
2595,2.0
2596,6.0
2597,6.0
2598,8.0
2599,6.0
2600,9.0
2601,1.0
2602,7.0
2603,7.0
2604,6.0
2605,7.0
2606,1.0
2607,6.0
2608,7.0
2609,8.0
2610,3.0
2611,6.0
2612,6.0
2613,3.0
2614,3.0
2615,6.0
2616,1.0
2617,4.0
2618,9.0
2619,6.0
2620,7.0
2621,9.0
2622,2.0
2623,1.0
2624,4.0
2625,7.0
2626,6.0
2627,1.0
2628,7.0
2629,4.0
2630,2.0
2631,6.0
2632,6.0
2633,1.0
2634,6.0
2635,7.0
2636,4.0
2637,2.0
2638,1.0
2639,6.0
2640,3.0
2641,6.0
2642,6.0
2643,6.0
2644,9.0
2645,2.0
2646,6.0
2647,4.0
2648,1.0
2649,3.0
2650,6.0
2651,1.0
2652,1.0
2653,9.0
2654,9.0
2655,4.0
2656,7.0
2657,9.0
2658,7.0
2659,4.0
2660,9.0
2664,6.0
2661,5.0
2662,6.0
2663,2.0
2665,6.0
2666,6.0
2667,8.0
2668,1.0
2669,6.0
2670,9.0
2671,8.0
2672,7.0
2673,9.0
2674,2.0
2675,2.0
2679,6.0
2680,8.0
2681,3.0
2682,9.0
2683,4.0
2684,5.0
2676,7.0
2677,2.0
2678,9.0
2685,1.0
2686,9.0
2687,3.0
2688,6.0
2689,9.0
2690,7.0
2691,6.0
2692,1.0
2693,7.0
2694,6.0
2695,9.0
2696,5.0
2697,4.0
2698,2.0
2699,6.0
2700,2.0
2701,7.0
2702,2.0
2703,2.0
2704,6.0
