,County1,Dem-Rep %,State1,COVID Cases per 100K
58,Franklin,-68.6,Georgia,3319.199965737291
59,Fulton,41.6,Georgia,2640.757864422424
60,Gilmer,-66.8,Georgia,2738.3722783639896
61,Glascock,-78.9,Georgia,1346.348030966005
62,Glynn,-28.5,Georgia,4126.999015147962
63,Gordon,-63.6,Georgia,3298.656039197419
64,Grady,-33.0,Georgia,3276.0930459140172
65,Greene,-25.9,Georgia,2815.9790438768828
66,Gwinnett,5.9,Georgia,2998.5580774365812
67,Habersham,-66.4,Georgia,3823.2439110483588
68,Hall,-50.6,Georgia,4704.535782939821
69,Hancock,51.9,Georgia,4717.985101099681
70,Haralson,-71.6,Georgia,1738.7218045112784
71,Harris,-47.9,Georgia,2284.5953002610972
72,Hart,-46.6,Georgia,2014.8826559816828
73,Heard,-62.4,Georgia,1685.817327853728
74,Henry,4.4,Georgia,2308.9942488307943
75,Houston,-21.5,Georgia,2023.906805267859
76,Irwin,-49.8,Georgia,3430.331350892099
77,Jackson,-63.8,Georgia,2831.028954328076
78,Jasper,-46.8,Georgia,1582.3897601800406
79,Jeff Davis,-62.9,Georgia,4829.63943102878
80,Jefferson,10.9,Georgia,5305.298789220154
81,Jenkins,-25.3,Georgia,5048.4094052558785
82,Johnson,-37.6,Georgia,4355.491029762522
83,Jones,-34.7,Georgia,1994.0838698451366
84,Lamar,-38.5,Georgia,1997.1693662525556
85,Lanier,-41.2,Georgia,2849.4675237455626
86,Laurens,-29.0,Georgia,3615.446094308669
87,Lee,-53.0,Georgia,2367.2979461189652
88,Liberty,21.2,Georgia,1860.5029706193536
89,Lincoln,-36.2,Georgia,2701.679080924125
90,Long,-30.8,Georgia,1308.8603711846208
91,Lowndes,-17.5,Georgia,3395.908215934449
92,Lumpkin,-60.0,Georgia,2796.7866706337395
93,Macon,27.2,Georgia,2885.698198198198
94,Madison,-56.7,Georgia,2058.700792878008
95,Marion,-22.2,Georgia,1822.8160963929868
96,McDuffie,-18.7,Georgia,2389.558232931727
97,McIntosh,-20.1,Georgia,2308.888623041033
98,Meriwether,-15.4,Georgia,2636.1789578116877
99,Miller,-49.8,Georgia,4861.839804127317
100,Mitchell,-10.0,Georgia,3768.924667246032
101,Monroe,-41.5,Georgia,2560.0116034520265
102,Montgomery,-51.2,Georgia,3521.587440034889
103,Morgan,-41.3,Georgia,2536.8333679186553
104,Murray,-68.7,Georgia,2127.394253790902
105,Muscogee,18.8,Georgia,3115.917228979052
106,Newton,2.4,Georgia,2361.648052691867
107,Oconee,-39.4,Georgia,1914.101290963257
108,Oglethorpe,-42.0,Georgia,2267.514253882954
109,Paulding,-41.2,Georgia,1695.6488228284134
110,Peach,-2.9,Georgia,2483.119146155522
111,Pickens,-69.2,Georgia,1939.1856647540733
