,index,STNAME1,CTYNAME1,Population over 85
811,589,Texas,Rusk County,1103
812,581,Texas,Sabine County,368
813,598,Texas,San Augustine County,331
814,619,Texas,San Jacinto County,632
815,613,Texas,San Patricio County,1028
816,607,Texas,San Saba County,212
817,669,Texas,Schleicher County,40
818,738,Texas,Scurry County,370
819,720,Texas,Shackelford County,82
820,725,Texas,Shelby County,503
821,763,Texas,Sherman County,65
822,755,Texas,Smith County,4836
823,746,Texas,Somervell County,222
824,717,Texas,Starr County,816
825,687,Texas,Stephens County,256
826,680,Texas,Sterling County,35
827,677,Texas,Stonewall County,69
828,683,Texas,Sutton County,94
829,711,Texas,Swisher County,194
830,708,Texas,Tarrant County,26065
831,700,Texas,Taylor County,2783
832,452,Texas,Terrell County,42
833,447,Texas,Terry County,227
834,432,Texas,Throckmorton County,67
835,453,Texas,Titus County,540
836,472,Texas,Tom Green County,2373
837,465,Texas,Travis County,13228
838,462,Texas,Trinity County,368
839,430,Texas,Tyler County,567
840,398,Texas,Upshur County,827
841,393,Texas,Upton County,79
842,387,Texas,Uvalde County,656
843,428,Texas,Val Verde County,947
844,422,Texas,Van Zandt County,1225
845,414,Texas,Victoria County,1969
846,431,Texas,Walker County,1060
847,544,Texas,Waller County,656
848,541,Texas,Ward County,240
849,532,Texas,Washington County,1264
850,563,Texas,Webb County,3110
851,570,Texas,Wharton County,930
852,562,Texas,Wheeler County,106
853,556,Texas,Wichita County,2819
854,553,Texas,Wilbarger County,322
855,496,Texas,Willacy County,402
856,487,Texas,Williamson County,6972
857,502,Texas,Wilson County,922
858,522,Texas,Winkler County,96
859,504,Texas,Wise County,928
860,507,Texas,Wood County,1274
861,506,Texas,Yoakum County,116
862,508,Texas,Young County,508
863,510,Texas,Zapata County,208
864,511,Texas,Zavala County,200
865,322,Virginia,Accomack County,909
866,323,Virginia,Albemarle County,2872
867,878,Virginia,Alexandria city,2354
868,325,Virginia,Alleghany County,440
869,329,Virginia,Amelia County,305
870,332,Virginia,Amherst County,802
871,324,Virginia,Appomattox County,350
872,300,Virginia,Arlington County,3216
873,291,Virginia,Augusta County,1908
874,295,Virginia,Bath County,136
875,297,Virginia,Bedford County,1705
876,299,Virginia,Bland County,147
877,303,Virginia,Botetourt County,762
878,777,Virginia,Bristol city,463
879,305,Virginia,Brunswick County,388
880,307,Virginia,Buchanan County,423
881,334,Virginia,Buckingham County,371
882,801,Virginia,Buena Vista city,146
883,348,Virginia,Campbell County,1334
884,362,Virginia,Caroline County,540
885,365,Virginia,Carroll County,867
886,368,Virginia,Charles City County,192
887,369,Virginia,Charlotte County,332
888,902,Virginia,Charlottesville city,600
889,995,Virginia,Chesapeake city,3443
890,371,Virginia,Chesterfield County,4960
891,376,Virginia,Clarke County,344
892,915,Virginia,Colonial Heights city,511
893,965,Virginia,Covington city,104
894,379,Virginia,Craig County,148
895,380,Virginia,Culpeper County,781
896,359,Virginia,Cumberland County,241
897,940,Virginia,Danville city,1265
898,340,Virginia,Dickenson County,327
899,342,Virginia,Dinwiddie County,509
900,956,Virginia,Emporia city,211
901,344,Virginia,Essex County,277
902,337,Virginia,Fairfax County,18500
903,963,Virginia,Fairfax city,484
904,914,Virginia,Falls Church city,226
905,349,Virginia,Fauquier County,1201
906,350,Virginia,Floyd County,379
907,354,Virginia,Fluvanna County,546
908,355,Virginia,Franklin County,1300
909,931,Virginia,Franklin city,195
910,287,Virginia,Frederick County,1777
911,986,Virginia,Fredericksburg city,397
912,803,Virginia,Galax city,229
913,218,Virginia,Giles County,438
914,221,Virginia,Gloucester County,760
915,223,Virginia,Goochland County,542
916,225,Virginia,Grayson County,479
917,229,Virginia,Greene County,318
918,232,Virginia,Greensville County,139
919,233,Virginia,Halifax County,1018
920,813,Virginia,Hampton city,2394
921,235,Virginia,Hanover County,2226
922,829,Virginia,Harrisonburg city,793
923,204,Virginia,Henrico County,6873
924,194,Virginia,Henry County,1591
925,196,Virginia,Highland County,72
926,775,Virginia,Hopewell city,409
927,200,Virginia,Isle of Wight County,817
928,193,Virginia,James City County,2320
929,207,Virginia,King George County,352
930,210,Virginia,King William County,252
931,203,Virginia,King and Queen County,200
932,212,Virginia,Lancaster County,554
933,238,Virginia,Lee County,496
934,784,Virginia,Lexington city,177
935,239,Virginia,Loudoun County,4560
936,266,Virginia,Louisa County,675
937,269,Virginia,Lunenburg County,297
938,797,Virginia,Lynchburg city,1905
939,271,Virginia,Madison County,353
940,892,Virginia,Manassas Park city,145
941,887,Virginia,Manassas city,403
942,836,Virginia,Martinsville city,239
943,273,Virginia,Mathews County,324
944,277,Virginia,Mecklenburg County,856
945,280,Virginia,Middlesex County,415
946,283,Virginia,Montgomery County,1543
947,276,Virginia,Nelson County,362
948,252,Virginia,New Kent County,267
949,858,Virginia,Newport News city,2906
950,967,Virginia,Norfolk city,3485
951,242,Virginia,Northampton County,402
952,245,Virginia,Northumberland County,513
953,866,Virginia,Norton city,87
954,248,Virginia,Nottoway County,341
955,250,Virginia,Orange County,816
956,251,Virginia,Page County,568
957,255,Virginia,Patrick County,488
958,874,Virginia,Petersburg city,684
959,257,Virginia,Pittsylvania County,1454
960,769,Virginia,Poquoson city,239
961,825,Virginia,Portsmouth city,1714
962,261,Virginia,Powhatan County,450
963,764,Virginia,Prince Edward County,585
964,950,Virginia,Prince George County,591
965,909,Virginia,Prince William County,4243
966,935,Virginia,Pulaski County,859
967,970,Virginia,Radford city,205
968,984,Virginia,Rappahannock County,212
969,806,Virginia,Richmond County,292
970,930,Virginia,Richmond city,4254
971,826,Virginia,Roanoke County,2676
972,916,Virginia,Roanoke city,2225
973,781,Virginia,Rockbridge County,746
974,790,Virginia,Rockingham County,2125
975,876,Virginia,Russell County,619
976,949,Virginia,Salem city,622
977,891,Virginia,Scott County,620
978,847,Virginia,Shenandoah County,1105
979,865,Virginia,Smyth County,847
980,890,Virginia,Southampton County,396
981,792,Virginia,Spotsylvania County,2154
982,815,Virginia,Stafford County,1426
983,951,Virginia,Staunton city,696
984,961,Virginia,Suffolk city,1509
985,981,Virginia,Surry County,145
986,923,Virginia,Sussex County,233
987,953,Virginia,Tazewell County,1136
988,922,Virginia,Virginia Beach city,7886
989,911,Virginia,Warren County,623
990,996,Virginia,Washington County,1286
991,977,Virginia,Waynesboro city,528
992,821,Virginia,Westmoreland County,462
993,834,Virginia,Williamsburg city,331
994,811,Virginia,Winchester city,541
995,881,Virginia,Wise County,708
996,862,Virginia,Wythe County,688
997,899,Virginia,York County,1283
