,index,STNAME1,CTYNAME1,Nonwhite Population
296,39215,Texas,Morris County,86
297,39443,Texas,Motley County,2
298,39671,Texas,Nacogdoches County,169
299,39899,Texas,Navarro County,162
300,40127,Texas,Newton County,69
301,40355,Texas,Nolan County,21
302,40583,Texas,Nueces County,402
303,40811,Texas,Ochiltree County,7
304,41039,Texas,Oldham County,1
305,41267,Texas,Orange County,163
306,41495,Texas,Palo Pinto County,35
307,41723,Texas,Panola County,73
308,41951,Texas,Parker County,63
309,42179,Texas,Parmer County,8
310,42407,Texas,Pecos County,17
311,42635,Texas,Polk County,60
312,42863,Texas,Potter County,190
313,43091,Texas,Presidio County,7
314,43319,Texas,Rains County,14
315,43547,Texas,Randall County,73
316,43775,Texas,Reagan County,4
317,44003,Texas,Real County,2
318,44231,Texas,Red River County,60
319,44459,Texas,Reeves County,21
320,44687,Texas,Refugio County,16
321,44915,Texas,Roberts County,1
322,45143,Texas,Robertson County,77
323,45371,Texas,Rockwall County,82
324,45599,Texas,Runnels County,15
325,45827,Texas,Rusk County,186
326,46055,Texas,Sabine County,31
327,46283,Texas,San Augustine County,77
328,46511,Texas,San Jacinto County,87
329,46739,Texas,San Patricio County,39
330,46967,Texas,San Saba County,5
331,47195,Texas,Schleicher County,1
332,47423,Texas,Scurry County,23
333,47651,Texas,Shackelford County,5
334,47879,Texas,Shelby County,89
335,48107,Texas,Sherman County,1
336,48335,Texas,Smith County,724
337,48563,Texas,Somervell County,8
338,48791,Texas,Starr County,14
339,49019,Texas,Stephens County,7
340,49247,Texas,Sterling County,6
341,49475,Texas,Stonewall County,1
342,49703,Texas,Sutton County,1
343,49931,Texas,Swisher County,11
344,50159,Texas,Tarrant County,3529
345,50387,Texas,Taylor County,163
346,50615,Texas,Terrell County,3
347,50843,Texas,Terry County,8
348,51071,Texas,Throckmorton County,2
349,51299,Texas,Titus County,58
350,51527,Texas,Tom Green County,153
351,51755,Texas,Travis County,1615
352,51983,Texas,Trinity County,56
353,52211,Texas,Tyler County,43
354,52439,Texas,Upshur County,103
355,52667,Texas,Upton County,10
356,52895,Texas,Uvalde County,29
357,53123,Texas,Val Verde County,29
358,53351,Texas,Van Zandt County,53
359,53579,Texas,Victoria County,152
360,53807,Texas,Walker County,144
361,54035,Texas,Waller County,161
362,54263,Texas,Ward County,14
363,54491,Texas,Washington County,130
364,54719,Texas,Webb County,58
365,54947,Texas,Wharton County,106
366,55175,Texas,Wheeler County,5
367,55403,Texas,Wichita County,231
368,55631,Texas,Wilbarger County,31
369,55859,Texas,Willacy County,6
370,56087,Texas,Williamson County,495
371,56315,Texas,Wilson County,43
372,56543,Texas,Winkler County,8
373,56771,Texas,Wise County,42
374,56999,Texas,Wood County,77
375,57227,Texas,Yoakum County,7
376,57455,Texas,Young County,15
377,57683,Texas,Zapata County,5
378,57911,Texas,Zavala County,3
706,227,Virginia,Accomack County,188
707,455,Virginia,Albemarle County,189
801,21887,Virginia,Alexandria city,589
708,683,Virginia,Alleghany County,29
709,911,Virginia,Amelia County,91
710,1139,Virginia,Amherst County,140
711,1367,Virginia,Appomattox County,67
712,1595,Virginia,Arlington County,663
713,1823,Virginia,Augusta County,71
714,2051,Virginia,Bath County,9
715,2279,Virginia,Bedford County,168
716,2507,Virginia,Bland County,12
717,2735,Virginia,Botetourt County,34
802,22115,Virginia,Bristol city,25
718,2963,Virginia,Brunswick County,193
719,3191,Virginia,Buchanan County,9
720,3419,Virginia,Buckingham County,130
803,22343,Virginia,Buena Vista city,12
721,3647,Virginia,Campbell County,179
722,3875,Virginia,Caroline County,203
723,4103,Virginia,Carroll County,18
724,4331,Virginia,Charles City County,119
725,4559,Virginia,Charlotte County,102
804,22571,Virginia,Charlottesville city,133
805,22799,Virginia,Chesapeake city,1145
726,4787,Virginia,Chesterfield County,707
727,5015,Virginia,Clarke County,44
806,23027,Virginia,Colonial Heights city,31
807,23255,Virginia,Covington city,20
728,5243,Virginia,Craig County,0
729,5471,Virginia,Culpeper County,137
730,5699,Virginia,Cumberland County,104
808,23483,Virginia,Danville city,332
731,5927,Virginia,Dickenson County,8
732,6155,Virginia,Dinwiddie County,202
809,23711,Virginia,Emporia city,89
733,6383,Virginia,Essex County,80
734,6611,Virginia,Fairfax County,3840
810,23939,Virginia,Fairfax city,54
811,24167,Virginia,Falls Church city,36
735,6839,Virginia,Fauquier County,163
736,7067,Virginia,Floyd County,18
737,7295,Virginia,Fluvanna County,70
738,7523,Virginia,Franklin County,118
812,24395,Virginia,Franklin city,72
739,7751,Virginia,Frederick County,39
813,24623,Virginia,Fredericksburg city,63
814,24851,Virginia,Galax city,11
740,7979,Virginia,Giles County,13
741,8207,Virginia,Gloucester County,107
742,8435,Virginia,Goochland County,117
743,8663,Virginia,Grayson County,14
744,8891,Virginia,Greene County,16
745,9119,Virginia,Greensville County,69
746,9347,Virginia,Halifax County,357
815,25079,Virginia,Hampton city,1139
747,9575,Virginia,Hanover County,230
816,25307,Virginia,Harrisonburg city,39
748,9803,Virginia,Henrico County,1498
749,10031,Virginia,Henry County,326
750,10259,Virginia,Highland County,0
817,25535,Virginia,Hopewell city,109
751,10487,Virginia,Isle of Wight County,216
752,10715,Virginia,James City County,233
754,11171,Virginia,King George County,93
755,11399,Virginia,King William County,70
753,10943,Virginia,King and Queen County,80
756,11627,Virginia,Lancaster County,83
757,11855,Virginia,Lee County,11
818,25763,Virginia,Lexington city,28
758,12083,Virginia,Loudoun County,741
759,12311,Virginia,Louisa County,143
760,12539,Virginia,Lunenburg County,109
819,25991,Virginia,Lynchburg city,320
761,12767,Virginia,Madison County,40
821,26447,Virginia,Manassas Park city,49
820,26219,Virginia,Manassas city,85
822,26675,Virginia,Martinsville city,73
762,12995,Virginia,Mathews County,35
763,13223,Virginia,Mecklenburg County,297
764,13451,Virginia,Middlesex County,90
765,13679,Virginia,Montgomery County,70
766,13907,Virginia,Nelson County,69
767,14135,Virginia,New Kent County,46
823,26903,Virginia,Newport News city,828
824,27131,Virginia,Norfolk city,1546
768,14363,Virginia,Northampton County,157
769,14591,Virginia,Northumberland County,100
825,27359,Virginia,Norton city,3
770,14819,Virginia,Nottoway County,153
771,15047,Virginia,Orange County,116
772,15275,Virginia,Page County,19
773,15503,Virginia,Patrick County,29
826,27587,Virginia,Petersburg city,488
774,15731,Virginia,Pittsylvania County,315
827,27815,Virginia,Poquoson city,10
828,28043,Virginia,Portsmouth city,881
775,15959,Virginia,Powhatan County,80
776,16187,Virginia,Prince Edward County,186
777,16415,Virginia,Prince George County,166
778,16643,Virginia,Prince William County,950
779,16871,Virginia,Pulaski County,64
829,28271,Virginia,Radford city,15
780,17099,Virginia,Rappahannock County,17
781,17327,Virginia,Richmond County,47
830,28499,Virginia,Richmond city,1924
782,17555,Virginia,Roanoke County,135
831,28727,Virginia,Roanoke city,390
783,17783,Virginia,Rockbridge County,22
784,18011,Virginia,Rockingham County,34
785,18239,Virginia,Russell County,22
832,28955,Virginia,Salem city,55
786,18467,Virginia,Scott County,12
787,18695,Virginia,Shenandoah County,45
788,18923,Virginia,Smyth County,24
789,19151,Virginia,Southampton County,165
790,19379,Virginia,Spotsylvania County,331
791,19607,Virginia,Stafford County,217
833,29183,Virginia,Staunton city,51
834,29411,Virginia,Suffolk city,495
792,19835,Virginia,Surry County,77
793,20063,Virginia,Sussex County,134
794,20291,Virginia,Tazewell County,54
835,29639,Virginia,Virginia Beach city,1295
795,20519,Virginia,Warren County,47
796,20747,Virginia,Washington County,17
836,29867,Virginia,Waynesboro city,45
797,20975,Virginia,Westmoreland County,125
837,30095,Virginia,Williamsburg city,63
838,30323,Virginia,Winchester city,52
798,21203,Virginia,Wise County,19
799,21431,Virginia,Wythe County,25
800,21659,Virginia,York County,228
